,features,k_value,n_folds,avg_rmse,std_rmse
28469,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",10.0,10.0,13.267981206878185,1.342781499493395
28470,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",11.0,10.0,13.218268852556818,1.417923774064209
28471,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",12.0,10.0,13.138001804392175,1.487540295642506
28472,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",13.0,10.0,13.026722114149731,1.5351852747212908
28473,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",14.0,10.0,13.024753540791304,1.5751379410450166
28474,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",15.0,10.0,12.932183391443425,1.5963297122057094
28475,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",16.0,10.0,12.922485996563008,1.6034770313587838
28476,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",17.0,10.0,12.853554620116986,1.6332440850147607
28477,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",18.0,10.0,12.82891990703661,1.6293470474019185
28478,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",19.0,10.0,12.790907599274668,1.6212336481687
28479,"['DLCCount', 'MovieCount', 'GenreScore', 'PlatformScore', 'CategoryScore']",20.0,10.0,12.766939769644075,1.622086045000643
28480,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",1.0,10.0,16.884367889232607,1.4907545861924825
28481,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",2.0,10.0,16.10650123668686,4.546019537242718
28482,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",3.0,10.0,16.454522513290595,3.85155966265056
28483,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",4.0,10.0,15.387093411755291,2.4291699661129953
28484,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",5.0,10.0,14.645537303890729,1.979300663239408
28485,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",6.0,10.0,14.832347823096502,2.823353071878408
28486,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",7.0,10.0,14.941245321238771,2.3942000523952576
28487,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",8.0,10.0,14.545507517594768,2.1180106319685166
28488,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",9.0,10.0,14.228564060655646,1.9807994096106498
28489,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",10.0,10.0,14.095800429047475,1.9358428442705344
28490,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",11.0,10.0,13.988059072307951,1.8793187030444451
28491,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",12.0,10.0,14.116773951057647,1.9878833912452747
28492,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",13.0,10.0,13.97398649089447,1.902443385129632
28493,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",14.0,10.0,14.02524300083015,1.9937063053759319
28494,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",15.0,10.0,13.912773907773456,1.936211381000431
28495,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",16.0,10.0,13.83401288797715,1.9306184687893955
28496,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",17.0,10.0,13.795628172631975,1.9775444519111858
28497,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",18.0,10.0,13.711483262625368,1.9408523781225613
28498,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",19.0,10.0,13.638361466335738,1.9233476252669268
28499,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'SteamSpyPlayersEstimate']",20.0,10.0,13.586431276045095,1.9302025813930184
28500,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'GenreScore']",1.0,10.0,19.237713490956505,4.541781078162397
28501,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'GenreScore']",2.0,10.0,16.5443267274675,4.168541743421161
28502,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'GenreScore']",3.0,10.0,15.505809692057426,2.4416625507923686
28503,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'GenreScore']",4.0,10.0,14.885495368828819,1.962225536663565
28504,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'GenreScore']",5.0,10.0,14.392607803651526,1.8592182806488493
28505,"['DLCCount', 'RecommendationCount', 'ScreenshotCount', 'SteamSpyOwners', 'GenreScore']",6.0,10.0,14.116795301696248,1.7370601813364384
